2025-02-11T08:13:31.717287-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:13:31.870726-05:00 - INFO - n_sampled = 508404, replacement = [Gate { wires: [2, 1, 3], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [6, 8, 3], control_func: 15 }], time = 153.320875ms
2025-02-11T08:13:31.962853-05:00 - INFO - n_sampled = 355209, replacement = [Gate { wires: [0, 1, 2], control_func: 2 }, Gate { wires: [0, 2, 1], control_func: 6 }, Gate { wires: [2, 1, 8], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 92.085791ms
2025-02-11T08:13:31.980668-05:00 - INFO - n_sampled = 49171, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [0, 4, 3], control_func: 3 }, Gate { wires: [0, 10, 4], control_func: 5 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 17.799167ms
2025-02-11T08:13:32.022494-05:00 - INFO - n_sampled = 153201, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [0, 3, 6], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [3, 4, 5], control_func: 15 }], time = 41.815334ms
2025-02-11T08:13:32.118274-05:00 - INFO - n_sampled = 376004, replacement = [Gate { wires: [0, 1, 5], control_func: 12 }, Gate { wires: [0, 2, 1], control_func: 8 }, Gate { wires: [5, 1, 10], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 95.768125ms
2025-02-11T08:13:32.126431-05:00 - INFO - n_sampled = 24919, replacement = [Gate { wires: [2, 0, 1], control_func: 15 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [0, 3, 9], control_func: 15 }], time = 8.1345ms
2025-02-11T08:13:32.183347-05:00 - INFO - n_sampled = 150884, replacement = [Gate { wires: [0, 2, 1], control_func: 7 }, Gate { wires: [0, 4, 7], control_func: 0 }, Gate { wires: [0, 3, 1], control_func: 10 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 56.900334ms
2025-02-11T08:13:32.323617-05:00 - INFO - n_sampled = 523445, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 5, 10], control_func: 12 }, Gate { wires: [0, 10, 5], control_func: 5 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 140.224625ms
2025-02-11T08:13:32.363314-05:00 - INFO - n_sampled = 139121, replacement = [Gate { wires: [3, 4, 1], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [1, 2, 7], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 5 }], time = 39.676125ms
2025-02-11T08:13:32.380057-05:00 - INFO - n_sampled = 71974, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [0, 7, 8], control_func: 15 }, Gate { wires: [2, 7, 9], control_func: 15 }], time = 16.728125ms
2025-02-11T08:13:32.398113-05:00 - INFO - n_sampled = 54177, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [5, 0, 8], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [4, 2, 6], control_func: 15 }], time = 18.043375ms
2025-02-11T08:13:32.529013-05:00 - INFO - n_sampled = 493314, replacement = [Gate { wires: [3, 1, 0], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 5, 4], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 130.8845ms
2025-02-11T08:13:32.576096-05:00 - INFO - n_sampled = 168322, replacement = [Gate { wires: [0, 1, 6], control_func: 3 }, Gate { wires: [0, 1, 2], control_func: 7 }, Gate { wires: [9, 0, 4], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 47.069166ms
2025-02-11T08:13:32.593448-05:00 - INFO - n_sampled = 74530, replacement = [Gate { wires: [4, 3, 6], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 5, 0], control_func: 10 }, Gate { wires: [3, 1, 4], control_func: 5 }], time = 17.341208ms
2025-02-11T08:13:32.693406-05:00 - INFO - n_sampled = 366041, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 7, 1], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 5, 3], control_func: 0 }], time = 99.9465ms
2025-02-11T08:13:32.708895-05:00 - INFO - n_sampled = 24269, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [3, 6, 2], control_func: 0 }, Gate { wires: [0, 3, 2], control_func: 0 }], time = 15.460917ms
2025-02-11T08:13:32.722316-05:00 - INFO - n_sampled = 57639, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 5 }, Gate { wires: [3, 0, 2], control_func: 12 }, Gate { wires: [0, 7, 8], control_func: 15 }], time = 13.414709ms
2025-02-11T08:13:32.781976-05:00 - INFO - n_sampled = 232784, replacement = [Gate { wires: [3, 4, 2], control_func: 3 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 5, 0], control_func: 10 }, Gate { wires: [7, 4, 3], control_func: 15 }], time = 59.636083ms
2025-02-11T08:13:32.837560-05:00 - INFO - n_sampled = 206291, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 6 }, Gate { wires: [3, 9, 2], control_func: 0 }, Gate { wires: [4, 0, 3], control_func: 15 }], time = 55.57275ms
2025-02-11T08:13:32.897146-05:00 - INFO - n_sampled = 227577, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [5, 3, 4], control_func: 5 }, Gate { wires: [5, 0, 4], control_func: 5 }], time = 59.529ms
2025-02-11T08:13:32.899940-05:00 - INFO - n_sampled = 11822, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 7], control_func: 0 }, Gate { wires: [7, 4, 1], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 2.785375ms
2025-02-11T08:13:33.042037-05:00 - INFO - n_sampled = 518977, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [1, 7, 4], control_func: 15 }, Gate { wires: [3, 4, 1], control_func: 3 }, Gate { wires: [3, 6, 0], control_func: 10 }], time = 142.088792ms
2025-02-11T08:13:33.065297-05:00 - INFO - n_sampled = 99454, replacement = [Gate { wires: [4, 6, 10], control_func: 15 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [10, 6, 2], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 23.240833ms
2025-02-11T08:13:33.094131-05:00 - INFO - n_sampled = 106763, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 6, 2], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [3, 0, 4], control_func: 15 }], time = 28.755958ms
2025-02-11T08:13:33.188230-05:00 - INFO - n_sampled = 381447, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 6], control_func: 12 }, Gate { wires: [0, 4, 3], control_func: 0 }, Gate { wires: [3, 4, 2], control_func: 12 }], time = 94.079667ms
2025-02-11T08:13:33.285552-05:00 - INFO - n_sampled = 319643, replacement = [Gate { wires: [0, 1, 6], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [0, 7, 9], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 97.30025ms
2025-02-11T08:13:33.441969-05:00 - INFO - n_sampled = 488818, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [6, 4, 0], control_func: 15 }, Gate { wires: [0, 4, 1], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 156.400042ms
2025-02-11T08:13:33.590376-05:00 - INFO - n_sampled = 577455, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [4, 0, 2], control_func: 15 }, Gate { wires: [0, 10, 2], control_func: 0 }], time = 148.393625ms
2025-02-11T08:13:33.629669-05:00 - INFO - n_sampled = 83725, replacement = [Gate { wires: [3, 4, 0], control_func: 6 }, Gate { wires: [3, 0, 2], control_func: 3 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 5], control_func: 12 }], time = 39.279208ms
2025-02-11T08:13:33.696491-05:00 - INFO - n_sampled = 197088, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 7], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 6 }], time = 66.803958ms
