2025-02-11T08:12:31.580486-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:12:32.539961-05:00 - INFO - n_sampled = 3424039, replacement = [Gate { wires: [3, 1, 0], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [0, 1, 10], control_func: 0 }], time = 959.324958ms
2025-02-11T08:12:33.141729-05:00 - INFO - n_sampled = 2171290, replacement = [Gate { wires: [0, 1, 2], control_func: 12 }, Gate { wires: [0, 2, 1], control_func: 8 }, Gate { wires: [3, 4, 0], control_func: 6 }, Gate { wires: [3, 0, 4], control_func: 0 }], time = 601.629709ms
2025-02-11T08:12:33.211016-05:00 - INFO - n_sampled = 249226, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [3, 0, 1], control_func: 8 }, Gate { wires: [3, 0, 1], control_func: 8 }], time = 69.201375ms
2025-02-11T08:12:33.333845-05:00 - INFO - n_sampled = 477426, replacement = [Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [0, 3, 1], control_func: 12 }, Gate { wires: [3, 1, 2], control_func: 4 }, Gate { wires: [0, 3, 1], control_func: 12 }], time = 122.811167ms
2025-02-11T08:12:34.082125-05:00 - INFO - n_sampled = 2823619, replacement = [Gate { wires: [3, 8, 0], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 8 }, Gate { wires: [3, 4, 0], control_func: 14 }], time = 748.24425ms
2025-02-11T08:12:34.581327-05:00 - INFO - n_sampled = 1818856, replacement = [Gate { wires: [0, 5, 1], control_func: 0 }, Gate { wires: [0, 1, 4], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 499.113459ms
2025-02-11T08:12:35.081232-05:00 - INFO - n_sampled = 1853975, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 6], control_func: 12 }, Gate { wires: [0, 3, 9], control_func: 0 }, Gate { wires: [3, 4, 1], control_func: 12 }], time = 499.773708ms
2025-02-11T08:12:35.245565-05:00 - INFO - n_sampled = 600611, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [7, 4, 0], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [7, 3, 6], control_func: 0 }], time = 164.293333ms
2025-02-11T08:12:35.263382-05:00 - INFO - n_sampled = 72089, replacement = [Gate { wires: [0, 3, 2], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 1, 2], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 17.803833ms
2025-02-11T08:12:35.535874-05:00 - INFO - n_sampled = 997545, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [4, 8, 7], control_func: 0 }, Gate { wires: [4, 1, 2], control_func: 0 }], time = 272.475125ms
2025-02-11T08:12:35.653911-05:00 - INFO - n_sampled = 434056, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [4, 1, 0], control_func: 1 }, Gate { wires: [4, 1, 0], control_func: 1 }], time = 118.013834ms
2025-02-11T08:12:35.768661-05:00 - INFO - n_sampled = 419860, replacement = [Gate { wires: [3, 1, 4], control_func: 6 }, Gate { wires: [0, 3, 7], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 1, 0], control_func: 9 }], time = 114.70075ms
2025-02-11T08:12:35.866044-05:00 - INFO - n_sampled = 375045, replacement = [Gate { wires: [0, 8, 2], control_func: 12 }, Gate { wires: [0, 8, 1], control_func: 9 }, Gate { wires: [0, 2, 1], control_func: 7 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 97.369291ms
2025-02-11T08:12:35.885132-05:00 - INFO - n_sampled = 47405, replacement = [Gate { wires: [2, 1, 0], control_func: 14 }, Gate { wires: [0, 2, 1], control_func: 8 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [2, 0, 1], control_func: 14 }], time = 19.077834ms
2025-02-11T08:12:36.075199-05:00 - INFO - n_sampled = 710353, replacement = [Gate { wires: [3, 4, 0], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [0, 3, 4], control_func: 0 }], time = 190.052792ms
2025-02-11T08:12:36.215639-05:00 - INFO - n_sampled = 515403, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [6, 3, 5], control_func: 9 }, Gate { wires: [6, 3, 5], control_func: 9 }], time = 140.390791ms
2025-02-11T08:12:36.491817-05:00 - INFO - n_sampled = 999740, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 1, 3], control_func: 3 }, Gate { wires: [0, 1, 10], control_func: 3 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 276.161125ms
2025-02-11T08:12:36.858082-05:00 - INFO - n_sampled = 1131333, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [2, 4, 8], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [2, 1, 4], control_func: 0 }], time = 366.220291ms
2025-02-11T08:12:37.152137-05:00 - INFO - n_sampled = 997870, replacement = [Gate { wires: [3, 4, 0], control_func: 12 }, Gate { wires: [0, 2, 1], control_func: 7 }, Gate { wires: [0, 1, 2], control_func: 3 }, Gate { wires: [3, 0, 6], control_func: 3 }], time = 294.011667ms
2025-02-11T08:12:37.796795-05:00 - INFO - n_sampled = 2431229, replacement = [Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 10], control_func: 3 }, Gate { wires: [0, 8, 4], control_func: 0 }], time = 644.586083ms
2025-02-11T08:12:37.887100-05:00 - INFO - n_sampled = 341973, replacement = [Gate { wires: [0, 2, 1], control_func: 8 }, Gate { wires: [0, 1, 10], control_func: 9 }, Gate { wires: [0, 10, 1], control_func: 3 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 90.2685ms
2025-02-11T08:12:38.536058-05:00 - INFO - n_sampled = 2447878, replacement = [Gate { wires: [0, 7, 4], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 9 }, Gate { wires: [0, 2, 1], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 648.885416ms
2025-02-11T08:12:38.619998-05:00 - INFO - n_sampled = 293018, replacement = [Gate { wires: [0, 6, 1], control_func: 0 }, Gate { wires: [0, 2, 9], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 83.859458ms
2025-02-11T08:12:38.630431-05:00 - INFO - n_sampled = 25586, replacement = [Gate { wires: [3, 4, 1], control_func: 3 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [0, 3, 7], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 12 }], time = 10.418917ms
2025-02-11T08:12:38.831241-05:00 - INFO - n_sampled = 754853, replacement = [Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [0, 6, 2], control_func: 0 }, Gate { wires: [0, 2, 4], control_func: 12 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 200.793958ms
