2025-02-11T08:14:29.141155-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:14:29.342640-05:00 - INFO - n_sampled = 688247, replacement = [Gate { wires: [4, 3, 1], control_func: 5 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [4, 2, 1], control_func: 5 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 201.3605ms
2025-02-11T08:14:29.498682-05:00 - INFO - n_sampled = 558933, replacement = [Gate { wires: [0, 7, 3], control_func: 3 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 4, 7], control_func: 10 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 155.991125ms
2025-02-11T08:14:29.506038-05:00 - INFO - n_sampled = 31256, replacement = [Gate { wires: [0, 2, 5], control_func: 3 }, Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [3, 1, 0], control_func: 10 }], time = 7.336625ms
2025-02-11T08:14:29.788685-05:00 - INFO - n_sampled = 1077979, replacement = [Gate { wires: [10, 0, 3], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [10, 0, 8], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 282.626083ms
2025-02-11T08:14:30.102911-05:00 - INFO - n_sampled = 970467, replacement = [Gate { wires: [3, 4, 1], control_func: 12 }, Gate { wires: [0, 2, 3], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 4], control_func: 3 }], time = 314.131291ms
2025-02-11T08:14:30.483056-05:00 - INFO - n_sampled = 1067359, replacement = [Gate { wires: [3, 6, 1], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [0, 2, 3], control_func: 3 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 380.095583ms
2025-02-11T08:14:30.498127-05:00 - INFO - n_sampled = 61857, replacement = [Gate { wires: [3, 0, 4], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 4, 6], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 15.001917ms
2025-02-11T08:14:30.970862-05:00 - INFO - n_sampled = 1551141, replacement = [Gate { wires: [0, 7, 1], control_func: 3 }, Gate { wires: [0, 3, 7], control_func: 5 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 472.67725ms
2025-02-11T08:14:30.972695-05:00 - INFO - n_sampled = 6931, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 9], control_func: 3 }, Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [0, 1, 4], control_func: 0 }], time = 1.748167ms
2025-02-11T08:14:31.127424-05:00 - INFO - n_sampled = 523528, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [4, 10, 0], control_func: 10 }, Gate { wires: [3, 4, 1], control_func: 3 }, Gate { wires: [4, 1, 0], control_func: 10 }], time = 154.703209ms
2025-02-11T08:14:31.586598-05:00 - INFO - n_sampled = 1620245, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 1], control_func: 4 }, Gate { wires: [3, 0, 1], control_func: 7 }, Gate { wires: [3, 0, 4], control_func: 10 }], time = 459.119875ms
